Company,DIV'D,CMRK,TechRank,^vCM,HISTVO,INDUST,CMPRICE,VOLF,TKR,C/P,STRIKE,OPTKR,Record Number,EXPDAY,OI,VOL,BID,ASK,EST,DLTA,Bid oprk,Ask oprk,Bid UN/OV,Ask UN/OV,RVOPT,10%,-10%,CCMPRK,CCMPBE,CCMPRV,CCPWPA,CCPWPT,CCPWMX,I/OTM,THETA,Bid Implied,Ask Implied,VOLFADJ,PrtbStrk VOLF,Bid PrtbStrk Implied,Ask PrtbStrk Implied,PctDble,Margin,Yld Margin,Max Margin,ROBUY,ROWRT,ROCCMP,01/24/2022
Mimecast Ltd,0,1,2,,0.4276,Cyber Security,79.53,0.41742,MIME,C,80,MIME  220218C00080000,20274,2/18/2022 12:00:00 AM,2391,435,0.25,0.3,3.26082,36.99838,3,1,-0.88146,-0.86603,10360.96,26.57746,-1,3,79.28,47.33988,0.04427,0.00314,0.00908,-0.00591,-0.93091,0.0481,0.05436,0.40576,0.48294,0.35913,0.37478,0.00376,0.19409,0.01746,0.0162,21,6802,220463
Adobe Inc,0,1,2,,0.32993,Computer Software/Svcs,518.1,0.42928,ADBE,C,560,ADBE  220218C00560000,26948,2/18/2022 12:00:00 AM,1763,289,7.35,8.35,9.68648,25.17647,3,1,-0.119,-0.06706,1476.299,2.76286,-0.87899,2,510.75,60.66248,0.20202,0.01419,0.09643,-0.08087,-34.27329,0.3857,0.40844,0.4378,0.25631,0.22868,0.24139,0.03619,0.11913,0.12035,0.11909,11995,85248,48665
Adobe Inc,0,1,2,,0.32993,Computer Software/Svcs,518.1,0.42928,ADBE,C,565,ADBE  220218C00565000,32783,2/18/2022 12:00:00 AM,1404,173,6.15,7.35,9.56305,22.46865,3,1,-0.17264,-0.10967,1643.149,2.96671,-0.88793,2,511.95,66.09979,0.16864,0.01187,0.10362,-0.09052,-32.04069,0.3809,0.40989,0.46038,0.24353,0.20045,0.21752,0.03371,0.10948,0.10969,0.10843,9186,79638,62215
Micron Technology Inc,0.00444,1,3,,0.45982,Semiconductor,82.59,0.49211,MU,C,93,MU    220225C00093000,246573,2/25/2022 12:00:00 AM,35,10,1.12,1.31,1.87508,20.78325,3,1,-0.18947,-0.13917,1503.291,2.23628,-0.82114,3,81.43685,77.8994,0.15649,0.01396,0.14193,-0.12604,-4.86019,0.43041,0.45712,0.53102,0.23087,0.18194,0.19629,0.04472,0.1,0.13721,0.13561,7594,78055,67104
Adobe Inc,0,1,2,,0.32993,Computer Software/Svcs,518.1,0.40838,ADBE,C,575,ADBE  220304C00575000,266104,3/4/2022 12:00:00 AM,27,0,6.2,8.85,10.77113,21.89313,3,1,-0.20382,-0.0821,1311.42,2.44178,-0.84682,3,511.9,62.29457,0.11052,0.01197,0.12327,-0.10982,-23.87932,0.3429,0.39532,0.43068,0.23661,0.18383,0.21728,0.04095,0.1,0.12161,0.11967,10985,76781,71613
Qurate Retail Inc,0,2,4,,0.52434,Retail (Hardlines),7.67,1.20031,QRTEA,C,9,QRTEA 220318C00009000,879272,3/18/2022 12:00:00 AM,0,3005,0.2,0.25,0.84229,25.78968,3,1,-0.53361,-0.48616,1837.943,1.15427,-0.63985,3,7.47,152.0459,0.18097,0.02608,0.20482,-0.1734,-0.48695,0.51601,0.5685,1.10638,0.35584,0.21404,0.23597,0.08664,0.1,0.26337,0.26076,3821,60325,210991
New Relic Inc,0,1,3,,0.48508,E-Commerce,102.96,0.69035,NEWR,C,130,NEWR  220318C00130000,207211,3/18/2022 12:00:00 AM,57,36,2.45,2.95,5.49223,20.95836,3,1,-0.28011,-0.2293,1303.809,1.03289,-0.59806,3,100.51,126.3744,0.16476,0.0238,0.2934,-0.26263,-6.88375,0.62153,0.6654,0.86337,0.24374,0.1674,0.18382,0.09682,0.1,0.24058,0.23796,4007,60497,98303
Adobe Inc,0,1,2,,0.32993,Computer Software/Svcs,518.1,0.39368,ADBE,C,580,ADBE  220318C00580000,47814,3/18/2022 12:00:00 AM,871,28,8.65,9.85,11.77698,23.46438,3,1,-0.12442,-0.07537,1038.06,1.99538,-0.79711,2,509.45,56.9014,0.11477,0.0167,0.13848,-0.11948,-21.01794,0.35152,0.37121,0.40147,0.23764,0.20744,0.22003,0.05012,0.1,0.16957,0.16696,11463,84685,49955
Adobe Inc,0,1,2,,0.32993,Computer Software/Svcs,518.1,0.39368,ADBE,C,585,ADBE  220318C00585000,62708,3/18/2022 12:00:00 AM,593,23,7.8,8.5,11.61419,21.39272,3,1,-0.15114,-0.12211,1122.886,2.11336,-0.80751,2,510.3,60.43881,0.10332,0.01506,0.14638,-0.12913,-19.76831,0.35244,0.36449,0.41519,0.22842,0.19037,0.19834,0.04732,0.1,0.15317,0.15055,8485,81805,56469
Redwood Trust Inc,0.07603,1,1,,0.52341,R.E.I.T.,11.84,0.50271,RWT,C,12.5,RWT   220414C00012500,99511,4/14/2022 12:00:00 AM,281,5,0.35,0.4,0.46141,35.10522,3,1,-0.15313,-0.08389,729.1579,1.48616,-0.73382,2,11.29023,42.62986,0.21329,0.04643,0.10477,-0.05574,-0.4172,0.30041,0.32497,0.35473,0.34381,0.31747,0.33037,0.06729,0.14426,0.20885,0.20492,10874,81583,57026
Chegg Inc,0,2,4,,0.4853,Educational Services,26.54,0.82442,CHGG,C,35,CHGG  220414C00035000,15773,4/14/2022 12:00:00 AM,3072,334,0.85,1,2.47957,22.77039,3,1,-0.37735,-0.33773,1226.417,0.80003,-0.52009,3,25.69,143.4955,0.14909,0.03203,0.3624,-0.31876,-1.52693,0.62473,0.66448,1.00334,0.28194,0.17701,0.19177,0.125,0.1,0.3242,0.32027,10596,84353,174365
Tradeweb Markets Inc,0.00352,1,1,,0.3413,Internet,89.28,0.30198,TW,C,100,TW    220414C00100000,220804,4/14/2022 12:00:00 AM,49,0,1.35,1.55,1.86103,22.43449,3,1,-0.12545,-0.07515,865.3125,2.14785,-0.81423,2,87.86026,45.31837,0.0727,0.0159,0.13805,-0.12007,-2.29655,0.27592,0.29179,0.3155,0.22911,0.19817,0.21126,0.04656,0.1,0.15514,0.15121,11478,84575,50183
Biohaven Pharmaceutical Holding Company Ltd,0,1,3,,0.61331,Drug,119.52,0.60506,BHVN,C,140,BHVN  220414C00140000,23827,4/14/2022 12:00:00 AM,2025,1,4.8,5.9,6.56635,31.31563,3,1,-0.14754,-0.05474,775.2021,0.85763,-0.55085,2,114.72,75.60496,0.18854,0.04016,0.22036,-0.17135,-6.73556,0.50671,0.56187,0.59441,0.29089,0.2591,0.28005,0.1166,0.1,0.40553,0.40161,12877,82169,55521
Innovative Industrial Properties Inc,0.03009,1,2,,0.52741,R.E.I.T.,194.62,0.51928,IIPR,C,230,IIPR  220414C00230000,283100,4/14/2022 12:00:00 AM,22,1,3.5,4.9,6.35729,21.57451,3,1,-0.21237,-0.10399,922.7726,1.36643,-0.68858,3,189.8204,70.4319,0.11261,0.02466,0.21011,-0.18179,-6.94642,0.38197,0.43453,0.48496,0.22869,0.1727,0.20344,0.07318,0.1,0.18377,0.17984,9519,76080,74272
Zillow Group Inc,0,1,3,,0.56603,Internet,53.21,0.63145,Z,C,75,Z     220520C00075000,64252,5/20/2022 12:00:00 AM,572,30,1.88,2.06,2.70954,21.63619,3,1,-0.12821,-0.09911,764.0219,0.70052,-0.47741,2,51.33,101.6553,0.11426,0.03533,0.46113,-0.40951,-2.39044,0.61069,0.63107,0.7005,0.19734,0.16445,0.17238,0.14275,0.1,0.35899,0.35332,9833,84257,50829
Micron Technology Inc,0.00444,1,3,,0.45982,Semiconductor,82.59,0.4751,MU,C,105,MU    220520C00105000,167311,5/20/2022 12:00:00 AM,100,580,2.01,2.12,3.23744,20.26425,3,1,-0.16768,-0.15163,794.4551,1.05287,-0.60135,2,80.46246,76.58766,0.08226,0.02576,0.30448,-0.27134,-2.52875,0.43171,0.44003,0.51868,0.21098,0.16732,0.17193,0.09498,0.1,0.24904,0.24337,6991,80110,60856
Innovative Industrial Properties Inc,0.03009,1,2,,0.52741,R.E.I.T.,194.62,0.52836,IIPR,C,230,IIPR  220520C00230000,157093,5/20/2022 12:00:00 AM,113,0,5.8,6.4,8.7665,25.92525,3,1,-0.17175,-0.1356,725.9435,1.05611,-0.60999,2,186.9428,64.55066,0.12592,0.03945,0.22774,-0.18179,-6.28667,0.38975,0.40676,0.47057,0.26049,0.21919,0.22888,0.09469,0.1,0.30369,0.29802,7783,79720,61946
eXp World Holdings Inc,0.00604,1,2,,0.72684,E-Commerce,24.93,0.99235,EXPI,C,35,EXPI  220617C00035000,185823,6/17/2022 12:00:00 AM,76,32,1.65,2.05,3.34852,31.20401,3,1,-0.29429,-0.22146,769.691,0.46813,-0.3706,3,23.22018,126.2648,0.18445,0.06858,0.50584,-0.40393,-1.43863,0.69942,0.7716,0.99109,0.29608,0.22389,0.24569,0.21361,0.1,0.66888,0.66185,4262,59741,103737
ConAgra Brands Inc,0.036,2,5,,0.28668,Food Processing,35.34,0.4721,CAG,C,39,CAG   220617C00039000,27761,6/17/2022 12:00:00 AM,1706,2,0.65,0.8,1.9407,25.58137,3,1,-0.42981,-0.37457,919.3873,1.80308,-0.77404,3,34.18459,53.09769,0.08317,0.03269,0.13854,-0.10357,-0.60873,0.21969,0.24097,0.38529,0.33151,0.22238,0.24299,0.05546,0.1,0.19096,0.18393,8345,78926,189569
eXp World Holdings Inc,0.00604,1,2,,0.72684,E-Commerce,24.93,0.99235,EXPI,C,40,EXPI  220617C00040000,98497,6/17/2022 12:00:00 AM,287,0,0.95,1.25,3.15075,21.00874,3,1,-0.37747,-0.31717,972.3777,0.54367,-0.40933,3,23.92018,161.1948,0.10576,0.04051,0.67046,-0.60449,-1.14341,0.686,0.75245,1.10196,0.25013,0.13945,0.16178,0.18393,0.1,0.3881,0.38107,1698,56183,138942
Progress Software Corporation,0.01626,1,1,e,0.3345,Computer Software/Svcs,45.87,0.44993,PRGS,C,55,PRGS  220617C00055000,181325,6/17/2022 12:00:00 AM,81,0,1.05,1.35,2.10005,23.1821,3,1,-0.25768,-0.17929,729.4564,1.16328,-0.63925,3,44.5237,62.17413,0.07523,0.02935,0.23359,-0.19904,-1.08399,0.32444,0.3587,0.43706,0.25563,0.18811,0.21175,0.08596,0.1,0.23594,0.22891,5750,61824,89927
Charles Schwab Corporation,0.00787,1,3,,0.34294,Securities Brokerage,88.69,0.32156,SCHW,C,105,SCHW  220617C00105000,31943,6/17/2022 12:00:00 AM,1448,39,1.63,1.98,2.33161,21.18666,3,1,-0.13062,-0.06368,648.874,1.45434,-0.70357,2,86.78272,47.39747,0.055,0.02151,0.20919,-0.1839,-1.71939,0.28233,0.30407,0.32475,0.21022,0.17704,0.19477,0.06876,0.1,0.19082,0.18379,12209,84000,51395
Middleby Corp,0,1,3,,0.3973,Machinery,187.39,0.4443,MIDD,C,220,MIDD  220617C00220000,100023,6/17/2022 12:00:00 AM,279,0,4.4,5.9,7.14478,25.23391,3,1,-0.19286,-0.08477,641.2245,1.22164,-0.65812,3,182.99,51.00847,0.06053,0.02348,0.20225,-0.17402,-4.33084,0.29736,0.33718,0.36841,0.25442,0.20654,0.2352,0.08186,0.1,0.24184,0.2348,10797,77730,68165
Qurate Retail Inc,0,2,4,,0.52434,Retail (Hardlines),7.67,1.50151,QRTEA,C,6,QRTEA 220715C00006000,342300,7/15/2022 12:00:00 AM,11,0,1.95,2.4,3.32747,79.55746,3,1,-0.66495,-0.43397,682.4194,0.28232,-0.27732,3,5.72,49.8552,0.10328,0.25424,0.04895,0.21773,-0.27595,0.44125,0.74543,1.31695,0.6103,0.79841,0.68964,0.35421,0.2,0.19092,1.27119,5542,55043,219343
Redwood Trust Inc,0.07603,1,1,,0.52341,R.E.I.T.,11.84,0.51184,RWT,C,12.5,RWT   220715C00012500,118509,7/15/2022 12:00:00 AM,204,25,0.55,0.65,0.73907,39.12758,3,1,-0.17474,-0.08183,492.593,0.91355,-0.57937,3,10.86333,40.17016,0.17881,0.08249,0.14321,-0.05574,-0.2998,0.29408,0.32719,0.35635,0.36927,0.34293,0.3581,0.10946,0.14426,0.3304,0.32201,11004,79446,62789
Ready Capital Corporation 65,0.11328,1,2,,0.49185,Financial Svcs. (Div.),13.91,0.45317,RC,C,15,RC    220715C00015000,62425,7/15/2022 12:00:00 AM,598,9,0.35,0.5,0.59607,29.48239,3,1,-0.23449,-0.08895,568.3604,1.20148,-0.66008,3,12.81315,43.06014,0.16774,0.07885,0.15989,-0.07836,-0.28069,0.25242,0.30041,0.32974,0.2974,0.24359,0.27967,0.08323,0.12164,0.21525,0.20686,10512,74383,81636
LendingClub Corporation,0,1,2,,0.63654,Internet,21.08,0.70912,LC,C,38,LC    220715C00038000,265922,7/15/2022 12:00:00 AM,27,0,0.95,1.3,1.49918,21.61032,3,1,-0.14291,-0.04939,661.1391,0.44925,-0.3612,2,20.13,127.8957,0.09957,0.04507,0.88773,-0.80266,-0.9955,0.75512,0.83752,0.88103,0.16912,0.13192,0.15687,0.22259,0.1,0.45905,0.45066,13313,82651,54383
LendingClub Corporation,0,1,2,,0.63654,Internet,21.08,0.70912,LC,C,39,LC    220715C00039000,350827,7/15/2022 12:00:00 AM,10,0,0.9,1.2,1.48393,20.39516,3,1,-0.15176,-0.07058,682.7557,0.45633,-0.3636,2,20.18,132.573,0.0941,0.04269,0.93261,-0.85009,-0.96547,0.76283,0.83584,0.89931,0.16351,0.12394,0.14581,0.21914,0.1,0.43533,0.42694,11798,81736,56641
