Company,DIV'D,CMRK,TechRank,^vCM,HISTVO,INDUST,CMPRICE,VOLF,TKR,C/P,STRIKE,OPTKR,Record Number,EXPDAY,OI,VOL,BID,ASK,EST,DLTA,Bid oprk,Ask oprk,Bid UN/OV,Ask UN/OV,RVOPT,10%,-10%,CCMPRK,CCMPBE,CCMPRV,CCPWPA,CCPWPT,CCPWMX,I/OTM,THETA,Bid Implied,Ask Implied,VOLFADJ,PrtbStrk VOLF,Bid PrtbStrk Implied,Ask PrtbStrk Implied,PctDble,Margin,Yld Margin,Max Margin,ROBUY,ROWRT,ROCCMP,01/24/2022
BlackBerry Limited,0,4,3,,0.61646,Wireless Networking,8.19,0.50762,BB,C,8.5,BB    220204C00008500,233977,2/4/2022 12:00:00 AM,41,385,0.35,0.38,0.10053,43.402,5,3,1.21442,1.35503,659.4427,1.25668,-0.6939,2,7.84,38.26863,1.35789,0.04274,0.08418,-0.03785,-2.04643,0.80853,0.85987,0.36512,0.29034,0.40151,0.40728,0.07957,0.16215,0.26414,0.26355,326818,288372,60882
Virgin Galactic Holdings Inc,0,3,3,,0.73605,Recreation,8.57,0.49897,SPCE,C,9,SPCE  220204C00009000,63061,2/4/2022 12:00:00 AM,589,645,0.43,0.45,0.10274,42.90745,5,3,1.36472,1.44419,639.1846,1.04297,-0.62895,2,8.14,43.6536,1.60678,0.05018,0.10565,-0.05018,-2.5394,0.97637,1.00918,0.41289,0.25909,0.39233,0.39575,0.09588,0.14982,0.33547,0.33489,322001,288269,20190
Fisker Inc,0,3,3,,0.63879,Automotive,11.94,0.37222,FSR,C,12.5,FSR   220204C00012500,106952,2/4/2022 12:00:00 AM,247,189,0.66,0.78,0.06017,44.95554,5,3,2.75307,3.26284,378.3492,0.90328,-0.58384,1,11.28,28.00846,1.7797,0.05528,0.10816,-0.0469,-3.95395,1.03123,1.1713,0.27477,0.18186,0.40438,0.41563,0.11071,0.1531,0.36163,0.36105,342772,288594,7383
Fisker Inc,0,3,3,,0.63879,Automotive,11.94,0.37222,FSR,C,13,FSR   220204C00013000,75527,2/4/2022 12:00:00 AM,449,200,0.48,0.59,0.02726,36.9355,5,3,2.05022,2.45591,509.5876,1.03743,-0.62062,1,11.46,38.76481,1.274,0.0402,0.13438,-0.08878,-3.69437,1.01246,1.14712,0.33193,0.08023,0.32271,0.34232,0.09639,0.11122,0.36203,0.36145,338890,288553,11377
Fisker Inc,0,3,3,,0.63879,Automotive,11.94,0.37222,FSR,C,13.5,FSR   220204C00013500,261992,2/4/2022 12:00:00 AM,29,91,0.34,0.41,0.02057,29.06903,5,3,1.40962,1.63808,722.1259,1.2236,-0.66281,1,11.6,54.30554,0.89152,0.02848,0.16379,-0.13065,-3.24052,0.99621,1.09066,0.41343,0.05152,0.24933,0.26829,0.08173,0.1,0.28534,0.28476,327681,288315,19326
Bed Bath and Beyond Inc,0,3,3,,0.75736,Retail (Hardlines),13.98,0.71922,BBBY,C,14.5,BBBY  220204C00014500,125941,2/4/2022 12:00:00 AM,180,81,0.92,0.99,0.30432,47.39123,5,3,1.22709,1.3642,647.0159,0.82644,-0.55511,2,13.06,49.27591,2.14267,0.06581,0.11026,-0.0372,-4.90947,1.12644,1.19579,0.50579,0.34757,0.43016,0.43417,0.121,0.1628,0.4048,0.40422,318942,288026,23227
Bed Bath and Beyond Inc,0,3,3,,0.75736,Retail (Hardlines),13.98,0.71922,BBBY,C,15,BBBY  220204C00015000,93783,2/4/2022 12:00:00 AM,312,163,0.75,0.81,0.21613,41.11933,5,3,1.02027,1.12855,767.8735,0.89893,-0.57594,2,13.23,61.31114,1.7243,0.05365,0.13379,-0.07296,-4.81661,1.13598,1.19686,0.56229,0.24667,0.36728,0.37379,0.11124,0.12704,0.42288,0.4223,306359,287126,28624
Nordstrom Inc,0,3,4,,0.58737,Retail Store,22.46,0.48215,JWN,C,23,JWN   220204C00023000,196396,2/4/2022 12:00:00 AM,66,49,0.85,1.05,0.32654,45.62965,5,3,0.9876,1.3577,668.1003,1.41528,-0.73982,2,21.61,33.71063,1.1964,0.03785,0.06432,-0.02404,-4.93977,0.66547,0.78938,0.33481,0.35132,0.42384,0.43568,0.07066,0.17596,0.21566,0.21508,318655,286850,29668
Nordstrom Inc,0,3,4,,0.58737,Retail Store,22.46,0.48215,JWN,C,23.5,JWN   220204C00023500,200015,2/4/2022 12:00:00 AM,63,12,0.78,0.88,0.22056,40.11662,5,3,1.04684,1.22309,731.4799,1.45439,-0.73658,2,21.68,39.98547,1.09433,0.03473,0.08395,-0.0463,-5.09007,0.73803,0.80158,0.36057,0.24716,0.36923,0.37926,0.06876,0.1537,0.22654,0.22596,312180,287302,27847
BP Plc,0.04081,4,4,,0.34601,Petroleum (Integrated),29.89,0.31617,BP,C,30,BP    220204C00030000,56689,2/4/2022 12:00:00 AM,687,1283,0.83,0.91,0.39967,49.30542,5,3,0.93293,1.10624,665.0387,2.45033,-0.90673,3,29.0199,20.08538,0.90956,0.02911,0.03369,-0.00368,-3.95919,0.41355,0.45063,0.21395,0.45451,0.47643,0.47837,0.04081,0.19632,0.14203,0.14145,318604,287910,73841
ViacomCBS Inc,0.02737,3,5,,0.46296,Entertainment,32.47,0.39035,VIAC,C,33,VIAC  220204C00033000,122088,2/4/2022 12:00:00 AM,193,383,1.21,1.3,0.40399,46.62315,5,3,1.29616,1.43879,600.7107,1.62102,-0.78494,2,31.23078,26.65383,1.20473,0.03817,0.05656,-0.01632,-6.29244,0.61916,0.65762,0.26965,0.36781,0.44155,0.44494,0.06169,0.18368,0.20347,0.20288,321785,288182,21629
ViacomCBS Inc,0.02737,3,5,,0.46296,Entertainment,32.47,0.39035,VIAC,C,33.5,VIAC  220204C00033500,100963,2/4/2022 12:00:00 AM,274,77,0.98,1.08,0.28494,41.25551,5,3,1.11142,1.26408,697.886,1.82342,-0.8091,2,31.46078,31.14655,0.97397,0.03108,0.06473,-0.03172,-6.04204,0.60452,0.64823,0.28631,0.2717,0.38675,0.3942,0.05484,0.16828,0.17994,0.17936,314371,287650,26077
ViacomCBS Inc,0.02737,3,5,,0.46296,Entertainment,32.47,0.39035,VIAC,C,34,VIAC  220204C00034000,20441,2/4/2022 12:00:00 AM,2372,328,0.85,0.91,0.21902,36.54139,5,3,0.9929,1.07979,801.3657,1.95099,-0.818,2,31.59078,36.73078,0.84502,0.02708,0.07617,-0.04712,-5.92419,0.6229,0.65006,0.31256,0.20666,0.34072,0.34704,0.05126,0.15288,0.17181,0.17123,302907,286901,29497
Skechers USA,0,3,3,,0.4778,Shoe,43.27,0.49978,SKX,C,44,SKX   220204C00044000,279388,2/4/2022 12:00:00 AM,23,12,1.95,2.25,0.77054,48.19654,5,3,1.10406,1.3825,629.8274,1.26813,-0.70683,2,41.32,33.04101,1.43544,0.04507,0.06486,-0.01687,-10.15696,0.72468,0.82058,0.34442,0.39798,0.4511,0.45679,0.07886,0.18313,0.24667,0.24609,319644,287614,26267
Foot Locker Inc,0.02714,5,4,,0.50131,Retail (SoftLines),46.35,0.4159,FL,C,47,FL    220204C00047000,220686,2/4/2022 12:00:00 AM,49,24,1.45,1.7,0.66515,46.43608,5,3,0.83436,1.09739,720.244,1.89768,-0.8332,3,44.85864,28.25398,1.00942,0.03218,0.04766,-0.01402,-7.88798,0.5225,0.59742,0.28484,0.39141,0.44028,0.44772,0.0527,0.18598,0.1688,0.16821,326641,288236,128419
Foot Locker Inc,0.02714,5,4,,0.50131,Retail (SoftLines),46.35,0.4159,FL,C,47.5,FL    220204C00047500,486032,2/4/2022 12:00:00 AM,1,22,1.25,1.55,0.51993,42.48638,5,3,0.77978,1.09066,773.387,2.00552,-0.84004,3,45.05864,31.26291,0.87017,0.02786,0.05411,-0.02481,-7.88298,0.52242,0.61367,0.29353,0.32049,0.39666,0.41175,0.04986,0.17519,0.15452,0.15394,326503,288146,131412
Dow Inc,0.05013,3,4,,0.45378,Chemical (Basic),56.61,0.2877,DOW,C,57,DOW   220204C00057000,153674,2/4/2022 12:00:00 AM,118,132,1.32,1.5,0.59615,47.02859,5,3,0.91573,1.14206,684.2921,2.85302,-0.93302,2,55.1967,19.14818,0.7763,0.02497,0.03258,-0.00689,-6.86063,0.37395,0.41813,0.1952,0.41134,0.45344,0.45834,0.03505,0.19311,0.12133,0.12075,307294,286125,32147
US Bancorp,0.03207,3,4,,0.3143,Bank (Midwest),56.88,0.23776,USB,C,57,USB   220204C00057000,206118,2/4/2022 12:00:00 AM,58,61,1.21,1.51,0.59008,49.62796,5,3,0.94003,1.39467,611.4507,3.15644,-0.95569,2,55.61003,14.98009,0.69318,0.02233,0.02495,-0.00211,-6.09681,0.31155,0.38456,0.16059,0.4647,0.48179,0.48524,0.03168,0.19789,0.10808,0.1075,320145,286391,31259
US Bancorp,0.03207,3,4,,0.3143,Bank (Midwest),56.88,0.23776,USB,C,57.5,USB   220204C00057500,153201,2/4/2022 12:00:00 AM,119,78,1.04,1.23,0.40429,44.10823,5,3,0.97085,1.25549,690.6383,3.57689,-0.96264,2,55.78003,17.00662,0.59857,0.01934,0.03078,-0.0109,-6.00352,0.32383,0.3706,0.16431,0.35207,0.4236,0.43315,0.02796,0.1891,0.09727,0.09669,313931,286695,30208
Marathon Petroleum Corporation,0.03163,3,3,,0.4613,Petroleum (Integrated),70.28,0.34977,MPC,C,71,MPC   220204C00071000,107460,2/4/2022 12:00:00 AM,245,35,1.99,2.27,0.87763,46.9585,5,3,0.92922,1.16129,683.4102,2.21971,-0.87718,2,68.21692,23.40997,0.91798,0.02936,0.04072,-0.01024,-10.44477,0.45979,0.5151,0.23833,0.40266,0.44917,0.45461,0.04505,0.18976,0.1498,0.14922,308527,286287,31660
Exxon Mobil Corp,0.04815,4,3,,0.30526,Petroleum (Integrated),72.72,0.24243,XOM,C,73,XOM   220204C00073000,39064,2/4/2022 12:00:00 AM,1129,294,1.68,1.79,0.83753,48.36658,5,3,0.84364,0.95365,713.8057,3.0926,-0.94971,3,70.92488,18.2352,0.76746,0.02469,0.02917,-0.00385,-8.09144,0.3516,0.37258,0.19071,0.4443,0.46972,0.47142,0.03234,0.19615,0.11836,0.11778,311161,287564,78827
Exxon Mobil Corp,0.04815,4,3,,0.30526,Petroleum (Integrated),72.72,0.24243,XOM,C,74,XOM   220204C00074000,35266,2/4/2022 12:00:00 AM,1284,963,1.22,1.36,0.51377,40.01019,5,3,0.72236,0.86075,877.8236,3.80102,-0.96305,3,71.38488,22.10735,0.56715,0.01836,0.03655,-0.0176,-7.70246,0.34275,0.37029,0.199,0.30456,0.38328,0.39174,0.02631,0.1824,0.09256,0.09198,305158,286711,86617
Best Buy Company,0.02818,4,3,,0.38368,Retail (Hardlines),101.21,0.36564,BBY,C,102,BBY   220204C00102000,197860,2/4/2022 12:00:00 AM,65,230,3,3.25,1.44395,48.01152,5,3,0.85981,0.99723,713.2251,2.21741,-0.87933,3,98.11623,23.94743,0.95731,0.03057,0.03952,-0.00781,-14.83518,0.46261,0.49679,0.24874,0.42856,0.46144,0.46409,0.0451,0.19219,0.15481,0.15423,313490,287640,77888
Best Buy Company,0.02818,4,3,,0.38368,Retail (Hardlines),101.21,0.36564,BBY,C,103,BBY   220204C00103000,158309,2/4/2022 12:00:00 AM,111,78,2.49,2.76,1.12078,43.34262,5,3,0.75396,0.89986,807.2053,2.4984,-0.89705,3,98.62623,26.93849,0.79538,0.02553,0.04428,-0.01769,-14.30863,0.45033,0.48779,0.25675,0.35049,0.41335,0.41991,0.04003,0.18231,0.13553,0.13494,307806,287015,84453
GameStop Corp Holding Company,0,3,3,e,0.93136,Retail (Hardlines),99.5,0.56646,GME,C,104,GME   220204C00104000,389116,2/4/2022 12:00:00 AM,6,7,7.2,8.6,1.2274,47.83657,5,3,2.16662,2.65605,442.0074,0.69866,-0.50087,1,92.3,38.44252,2.3727,0.07236,0.12676,-0.04523,-40.84533,1.26019,1.45496,0.39796,0.27261,0.42425,0.43429,0.14313,0.15477,0.46811,0.46753,340215,288563,10520
GameStop Corp Holding Company,0,3,3,e,0.93136,Retail (Hardlines),99.5,0.56646,GME,C,110,GME   220204C00110000,157412,2/4/2022 12:00:00 AM,112,227,5.6,6.4,0.50688,39.17777,5,3,1.84516,2.09412,558.1415,0.77501,-0.5251,1,93.9,52.22264,1.81399,0.05628,0.17146,-0.10553,-39.92266,1.31916,1.43459,0.46365,0.11773,0.33834,0.3507,0.12903,0.1,0.5634,0.56281,335448,288526,13331
GameStop Corp Holding Company,0,3,3,e,0.93136,Retail (Hardlines),99.5,0.56646,GME,C,112,GME   220204C00112000,300200,2/4/2022 12:00:00 AM,18,22,4.75,5.9,0.41968,36.18513,5,3,1.57954,1.92332,621.1692,0.81509,-0.54049,1,94.75,58.48397,1.52485,0.04774,0.18206,-0.12563,-38.5103,1.27659,1.44672,0.49489,0.0947,0.30547,0.32675,0.12269,0.1,0.47797,0.47739,333099,288441,16563
Discover Financial Services,0.01688,4,4,,0.44267,Financial Svcs. (Div.),115.29,0.37492,DFS,C,116,DFS   220204C00116000,424635,2/4/2022 12:00:00 AM,3,1,3.2,3.7,1.78741,48.67787,5,3,0.6695,0.90608,760.0266,2.33928,-0.8945,3,112.026,24.12425,0.88523,0.02831,0.03544,-0.00616,-16.01525,0.42377,0.48382,0.25383,0.44717,0.4683,0.47223,0.04275,0.19384,0.14377,0.14319,308191,286171,90271
