Company,DIV'D,CMRK,TechRank,^vCM,HISTVO,INDUST,CMPRICE,VOLF,TKR,C/P,STRIKE,OPTKR,Record Number,EXPDAY,OI,VOL,BID,ASK,EST,DLTA,Bid oprk,Ask oprk,Bid UN/OV,Ask UN/OV,RVOPT,10%,-10%,CCMPRK,CCMPBE,CCMPRV,CCPWPA,CCPWPT,CCPWMX,I/OTM,THETA,Bid Implied,Ask Implied,VOLFADJ,PrtbStrk VOLF,Bid PrtbStrk Implied,Ask PrtbStrk Implied,PctDble,Margin,Yld Margin,Max Margin,ROBUY,ROWRT,ROCCMP,01/24/2022
Rite Aid Corp,0,5,4,,0.78702,Retail Store,11.05,1.25553,RAD,P,10,RAD   220204P00010000,287278,2/4/2022 12:00:00 AM,21,30,0.2,0.25,0.46736,22.38558,3,1,-0.35311,-0.28252,2623.655,-0.69973,1.69456,3,9.80582,49.06006,0.63845,0.1137,0.02099,-0.09502,-2.00245,0.76557,0.84911,1.18346,0.31989,0.23469,0.25711,0.05901,0.10498,0.173,0.17241,310,56393,138728
Rite Aid Corp,0,5,4,,0.78702,Retail Store,11.05,1.20735,RAD,P,13,RAD   220218P00013000,124927,2/18/2022 12:00:00 AM,183,1,2.17,2.29,2.65285,75.56043,3,1,-0.40617,-0.29542,806.8214,-0.33515,0.40807,3,10.84639,164.0543,0.30288,0.01991,0.20163,0.17647,-1.30397,0.69622,0.82607,1.17243,0.69684,0.80726,0.76774,0.24506,0.2,0.10081,0.9819,304,56026,135212
Futu Holdings Ltd,0,5,5,v,0.80911,Securities Brokerage,43.25,0.91304,FUTU,P,55,FUTU  220218P00055000,86312,2/18/2022 12:00:00 AM,361,2,12.55,13.05,13.08156,79.57945,3,1,-0.15797,-0.00876,508.5895,-0.24982,0.2854,3,42.51935,151.2393,0.28226,0.0185,0.2969,0.27168,-5.69055,0.86414,1.01727,1.02626,0.80863,0.85004,0.81072,0.35039,0.2,0.09375,1.45087,1358,79892,207620
Co Diagnostics Inc,0,4,4,e,1.08248,Biotechnology,7.31,1.04458,CODX,P,8,CODX  220318P00008000,658796,3/18/2022 12:00:00 AM,0,0,1.2,1.35,1.50168,55.83604,3,1,-0.27793,-0.13915,579.2057,-0.28434,0.35747,3,6.82095,100.7799,0.52464,0.06977,0.17909,0.09439,-0.76663,0.70377,0.83904,0.97466,0.59236,0.62686,0.60695,0.27974,0.2,0.35146,0.82079,3767,84632,110187
Rite Aid Corp,0,5,4,,0.78702,Retail Store,11.05,1.12934,RAD,P,13,RAD   220318P00013000,561727,3/18/2022 12:00:00 AM,0,0,2.3,2.53,2.92366,68.96663,3,1,-0.40276,-0.24729,576.314,-0.28589,0.3439,3,10.73404,126.2217,0.2388,0.03167,0.21757,0.17647,-0.87794,0.59025,0.7439,0.9883,0.66299,0.75938,0.71186,0.29078,0.2,0.16099,1.04072,382,56045,148142
Rite Aid Corp,0,5,4,,0.78702,Retail Store,11.05,1.12934,RAD,P,14,RAD   220318P00014000,711842,3/18/2022 12:00:00 AM,0,0,3.2,3.35,3.8574,76.66698,3,1,-0.41165,-0.30659,524.7908,-0.23996,0.27554,3,10.83666,156.0954,0.17416,0.02262,0.29891,0.26697,-0.79182,0.64686,0.76237,1.09945,0.70999,0.82653,0.78757,0.36292,0.2,0.11574,1.44796,301,55993,132252
Knowles Corporation,0,4,3,,0.34044,Telecom. Equipment,21.74,0.49256,KN,P,20,KN    220318P00020000,421413,3/18/2022 12:00:00 AM,3,0,0.45,0.55,0.63003,25.03144,3,1,-0.15932,-0.06969,912.9261,-0.69741,1.65235,3,19.60237,19.45035,0.17328,0.10335,0.02564,-0.08004,-0.88598,0.35275,0.39036,0.4196,0.29698,0.263,0.28331,0.06052,0.11996,0.17516,0.17255,5739,103540,128825
New Fortress Energy Inc,0.0175,4,4,v,0.66686,Natural Gas (Div.),21,0.71467,NFE,P,25,NFE   220318P00025000,121641,3/18/2022 12:00:00 AM,194,0,4.6,4.9,5.07499,72.5942,3,1,-0.23276,-0.08259,440.3228,-0.29006,0.34754,3,20.46547,100.266,0.2165,0.02857,0.22811,0.19048,-1.4684,0.57224,0.68424,0.74584,0.72829,0.78582,0.74613,0.28773,0.2,0.14548,1.09524,5333,98217,125331
Starwood Property Trust Inc,0.07776,3,3,,0.35948,R.E.I.T.,24.04,0.43875,STWD,P,25,STWD  220318P00025000,36142,3/18/2022 12:00:00 AM,1246,6,1.35,1.55,1.86282,73.11781,3,1,-0.50362,-0.29398,662.8846,-0.7974,1.45334,2,23.71547,43.0691,0.12916,0.01622,0.0597,0.03993,-0.44889,0.15789,0.22457,0.31808,0.65272,0.78555,0.71096,0.06881,0.2,0.08373,0.28078,6691,85913,25268
Zogenix Inc,0,4,5,e,0.54753,Drug,25.95,0.60866,ZGNX,P,26,ZGNX  220318P00026000,162044,3/18/2022 12:00:00 AM,106,127,0.5,0.6,1.62375,48.4105,3,1,-0.68848,-0.62735,1775.208,-0.9597,3.70962,1,25.56808,36.80991,0.13698,0.01734,0.02223,0.00193,-0.45388,0.12791,0.15301,0.4106,0.49825,0.49438,0.4953,0.02696,0.2,0.08932,0.09634,281,55853,16699
British American Tobacco PLC,0.06951,5,5,,0.26561,Tobacco,43.53,0.2374,BTI,P,45,BTI   220318P00045000,96102,3/18/2022 12:00:00 AM,300,78,2.35,2.65,2.65704,67.86056,3,1,-0.21825,-0.00497,491.5298,-0.77658,1.46141,3,42.76784,29.80838,0.15716,0.02022,0.05772,0.03377,-1.0165,0.18543,0.23602,0.2372,0.67294,0.71672,0.67375,0.06843,0.2,0.1037,0.26993,1410,78454,208507
Rite Aid Corp,0,5,4,,0.78702,Retail Store,11.05,1.07226,RAD,P,16,RAD   220414P00016000,224828,4/14/2022 12:00:00 AM,46,12,5.15,5.4,5.95502,79.89413,3,1,-0.41571,-0.26771,359.2587,-0.16099,0.17339,3,10.91285,171.6777,0.10076,0.0181,0.47858,0.44796,-0.62098,0.67799,0.84972,1.16036,0.74857,0.87424,0.81988,0.57674,0.2,0.09443,2.33032,315,55971,142689
Tupperware Brands,0,4,4,e,0.76534,Household Products,15.28,0.79857,TUP,P,20,TUP   220414P00020000,112986,4/14/2022 12:00:00 AM,223,0,5.1,5.3,5.35789,76.44643,3,1,-0.16093,-0.0345,296.6886,-0.21005,0.23804,3,14.97856,101.2335,0.13262,0.02487,0.34621,0.3089,-0.80025,0.60001,0.69042,0.71509,0.78449,0.826,0.79263,0.4201,0.2,0.12827,1.66885,7049,103422,138218
Triple S Management Corporation,0,3,3,,0.50309,Healthcare Information,35.67,0.60751,GTS,P,35,GTS   220414P00035000,100142,4/14/2022 12:00:00 AM,278,4,0.25,0.3,2.34288,28.63716,3,1,-0.79352,-0.77224,3847.201,-0.99574,9.0845,1,34.88748,21.85917,0.05012,0.02972,0.01112,-0.01878,-0.26501,0.08511,0.09388,0.41219,0.45308,0.28403,0.30238,0.01101,0.18122,0.0426,0.03868,311,57068,875
