Company,DIV'D,CMRK,TechRank,^vCM,HISTVO,INDUST,CMPRICE,VOLF,TKR,C/P,STRIKE,OPTKR,Record Number,EXPDAY,OI,VOL,BID,ASK,EST,DLTA,BID OPRK,ASK OPRK,BID UN/OV,ASK UN/OV,RVOPT,10%,-10%,CCMPRK,CCMPBE,CCMPRV,CCPWPA,CCPWBE,CCPWMAX,I/OTM,THETA,BID IMPLIE,ASK IMPLIE,VOLFADJ,Forecast PrtbStrk,Bid Prbstrk,Ask Prbstrk,PctDble,Margin,YLDMGN,MXMGN,ROBUY,ROWRITE,ROCCMP,GAMMA,VEGA,RHO,TimPrPct,BID/ASKPcnt,date_run,day,week,diff_today,next_exp,diff_exp
Alcoa Corporation,0,3,4,"",55.4,Metals & Mining (Div.),38.91,57.4,AA,C,25,AA    210716C00025000,665,2021-07-16,6156,0,13.8,14.1,14.45,100,3,2,-100,-24.9,516,28,-27.8,0,25.11,0,-3.7,35.5,-0.4,35.75,-0.13,0,75.1,100,90,100,96,35.7,20,-1.2,177.3,84356,66315,322094,0.65,1.12,293.8,-0.003,0.021,2021-06-04,6,29,42,2021-08-20,35
Alcoa Corporation,0,3,4,"",55.4,Metals & Mining (Div.),38.91,57.4,AA,C,30,AA    210716C00030000,666,2021-07-16,6973,6,9.15,9.3,9.77,93,3,2,-34.6,-23.9,562,40.3,-37.3,3,29.76,10,6.8,23.5,0.8,22.9,-1.28,51.1,59.5,78.2,84,93,90,24.8,20,3.3,117.6,86725,221625,169878,70.74,179.37,317.68,0.006,0.016,2021-06-04,6,29,42,2021-08-20,35
Alcoa Corporation,0,3,4,"",55.4,Metals & Mining (Div.),38.91,57.4,AA,C,40,AA    210716C00040000,667,2021-07-16,6378,59,2.41,2.59,1.65,48,5,3,36.7,45.3,544,90.9,-58.9,2,36.5,37,56,6.2,9.6,-2.8,-3.5,53.5,56.9,39.2,42,44,45,11,17.2,36.2,36,275959,334097,34859,210.26,532.37,192.44,0.062,0.07,2021-06-04,6,29,42,2021-08-20,35
Alcoa Corporation,0,3,4,"",55.4,Metals & Mining (Div.),38.91,57.4,AA,C,50,AA    210716C00050000,668,2021-07-16,4899,5,0.48,0.54,1,14,3,3,-21,-18.2,1524,149.5,-69.8,3,38.43,120,10.6,1.2,30.1,-28.5,-2.07,59.3,61.4,75,17,11,12,6.7,10,12.5,12.3,101968,251576,134275,105.52,291.92,56.49,0.012,0.111,2021-06-04,6,29,42,2021-08-20,35
Alcoa Corporation,0,3,4,"",55.4,Metals & Mining (Div.),38.91,57.4,AA,P,25,AA    210716P00025000,679,2021-07-16,3903,0,0.03,0.19,0.49,2,3,1,-41.3,-19.9,1756,-72.6,117.1,2,25.02,4,2.8,36,0.3,-35.75,-0.59,58.7,80.1,100,10,1,5,8.5,10,1,0.8,25301,102030,79001,23.35,74.26,-11.85,0.001,0.842,2021-06-04,6,29,42,2021-08-20,35
Alcoa Corporation,0,3,4,"",55.4,Metals & Mining (Div.),38.91,57.4,AA,P,27,AA    210716P00027000,680,2021-07-16,3335,1006,0.12,0.17,0.68,4,3,1,-34.4,-29.6,2075,-65.8,170.5,2,26.94,7,5.6,31.1,0.7,-30.61,-0.83,62.3,66.8,94.8,13,4,5,5.9,10,3.3,3.1,14650,112085,56250,37.58,111.11,-19.26,0.003,0.294,2021-06-04,6,29,42,2021-08-20,35
Alcoa Corporation,0,3,4,"",55.4,Metals & Mining (Div.),38.91,57.4,AA,P,40,AA    210716P00040000,681,2021-07-16,2789,14,3.5,3.65,2.65,51,4,3,40.7,47.9,408,-45.3,67.2,3,36.58,37,57.8,6.2,9.8,2.8,-3.39,55.1,57.9,39.2,58,55,55,14.9,20,31.2,45,235713,283739,276323,205.53,532.47,-277.65,0.062,0.041,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,C,15,AAL   210716C00015000,1622,2021-07-16,3680,17,8.9,9.75,9.46,99,3,3,-100,35.7,410,26.4,-25.7,0,15.42,1,-23.1,36.6,-2.7,38.32,-0.16,0,115.5,85.1,95,100,89,37.9,20,-8.4,183,254376,84084,308239,7.86,13,174.68,-0.017,0.087,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,C,17,AAL   210716C00017000,1623,2021-07-16,5141,2,7.2,9,7.58,93,3,3,-100,102.7,417,21.1,-36.6,0,17.12,10,-6,29.6,-0.7,30.1,-1.13,0,158.3,78.1,91,100,75,47.4,20,-2.3,148,350739,75882,299704,50.47,114.46,176.46,-0.005,0.2,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,C,20,AAL   210716C00020000,1624,2021-07-16,10861,178,4.45,4.7,4.63,90,3,3,-25.4,8.4,454,49.6,-44.7,3,19.87,9,5.6,18.3,0.7,17.76,-0.88,38.7,56.3,51.9,87,93,85,20.1,20,2.9,91.5,180319,241843,146171,105.96,144.23,204.77,0.005,0.053,2021-06-04,6,29,42,2021-08-20,35
