TKR,C/P,STRIKE,OPTKR,EXPDAY,lag_1_optkr,lag_1_stk,lag_1_pct_chg,lag_0_optkr,lag_0_stk,lag_0_pct_chg,lead_0_optkr,lead_0_stk,lead_0_pct_chg,lead_1_optkr,lead_1_stk,lead_1_pct_chg
AA,C,38.91,"",2021-06-18,,,,,,,AA    210618C00039000,39,-0.23076923076924,AA    210618C00042000,42,-7.35714285714287
AA,P,38.91,"",2021-06-18,AA    210618P00025000,25,55.64,AA    210618P00034000,34,14.4411764705882,AA    210716C00025000,25,55.64,AA    210716C00030000,30,29.7
AA,C,38.91,"",2021-07-16,AA    210716C00025000,25,55.64,AA    210716C00030000,30,29.7,AA    210716C00040000,40,-2.72500000000001,AA    210716C00050000,50,-22.18
AA,P,38.91,"",2021-07-16,AA    210716P00025000,25,55.64,AA    210716P00027000,27,44.1111111111111,AA    210716P00040000,40,-2.72500000000001,AAL   210618C00015000,15,159.4
AAL,C,24.32,"",2021-06-18,AAL   210618C00023000,23,5.73913043478261,AAL   210618C00024000,24,1.33333333333333,AAL   210618C00024500,24.5,-0.734693877551019,AAL   210618C00025000,25,-2.72
AAL,P,24.32,"",2021-06-18,AAL   210618P00023500,23.5,3.48936170212766,AAL   210618P00024000,24,1.33333333333333,AAL   210618P00025000,25,-2.72,AAL   210716C00015000,15,62.1333333333334
AAL,C,24.32,"",2021-07-16,AAL   210716C00023000,23,5.73913043478261,AAL   210716C00024000,24,1.33333333333333,AAL   210716C00025000,25,-2.72,AAL   210716C00026000,26,-6.46153846153846
AAL,P,24.32,"",2021-07-16,AAL   210716P00023000,23,5.73913043478261,AAL   210716P00024000,24,1.33333333333333,AAL   210716P00025000,25,-2.72,AAL   210820C00016000,16,52
AAL,C,24.32,"",2021-08-20,AAL   210820C00023000,23,5.73913043478261,AAL   210820C00024000,24,1.33333333333333,AAL   210820C00025000,25,-2.72,AAL   210820C00026000,26,-6.46153846153846
AAL,P,24.32,"",2021-08-20,AAL   210820P00023000,23,5.73913043478261,AAL   210820P00024000,24,1.33333333333333,AAPL  210618C00062500,62.5,-61.088,AAPL  210618C00075000,75,-67.5733333333333
AAPL,C,126.04,"",2021-06-18,AAPL  210618C00125000,125,0.832000000000005,AAPL  210618C00126000,126,0.0317460317460367,AAPL  210618C00127000,127,-0.755905511811019,AAPL  210618C00128000,128,-1.53125
AAPL,P,126.04,"",2021-06-18,AAPL  210618P00125000,125,0.832000000000005,AAPL  210618P00126000,126,0.0317460317460367,AAPL  210618P00128000,128,-1.53125,AAPL  210618P00130000,130,-3.04615384615384
AAPL,C,126.04,"",2021-07-16,AAPL  210716C00120000,120,5.03333333333334,AAPL  210716C00125000,125,0.832000000000005,AAPL  210716C00130000,130,-3.04615384615384,AAPL  210716C00135000,135,-6.63703703703703
AAPL,P,126.04,"",2021-07-16,AAPL  210716P00120000,120,5.03333333333334,AAPL  210716P00125000,125,0.832000000000005,AAPL  210716P00130000,130,-3.04615384615384,AAPL  210716P00135000,135,-6.63703703703703
AAPL,C,126.04,"",2021-08-20,AAPL  210820C00120000,120,5.03333333333334,AAPL  210820C00125000,125,0.832000000000005,AAPL  210820C00130000,130,-3.04615384615384,AAPL  210820C00135000,135,-6.63703703703703
AAPL,P,126.04,"",2021-08-20,AAPL  210820P00120000,120,5.03333333333334,AAPL  210820P00125000,125,0.832000000000005,AAPL  210820P00130000,130,-3.04615384615384,AAPL  210820P00135000,135,-6.63703703703703
ABBV,C,112.42,"",2021-06-18,AAPL  210820P00130000,130,-13.5230769230769,AAPL  210820P00135000,135,-16.7259259259259,ABBV  210618C00115000,115,-2.24347826086956,ABBV  210618C00120000,120,-6.31666666666667
ABBV,P,112.42,"",2021-06-18,ABBV  210618P00100000,100,12.42,ABBV  210618P00105000,105,7.06666666666667,ABBV  210716C00110000,110,2.2,"",112.42,0
ABBV,C,112.42,"",2021-07-16,"",112.42,0,ABBV  210716C00110000,110,2.2,ABBV  210716C00115000,115,-2.24347826086956,ABBV  210716C00120000,120,-6.31666666666667
ABBV,P,112.42,"",2021-07-16,ABBV  210716P00105000,105,7.06666666666667,ABBV  210716P00110000,110,2.2,ABBV  210716P00115000,115,-2.24347826086956,"",112.42,0
ABBV,C,112.42,"",2021-08-20,"",112.42,0,ABBV  210716P00115000,115,-2.24347826086956,ABBV  210820C00115000,115,-2.24347826086956,ABBV  210820C00120000,120,-6.31666666666667
ABCL,P,25.96,"",2021-06-18,ABBV  210820C00125000,125,-79.232,ABCL  210618P00025000,25,3.83999999999999,"",1.7,1427.05882352941,ABEO  210618C00002500,2.5,938.4
ABEO,C,1.7,"",2021-06-18,ABCL  210618P00025000,25,-93.2,"",25.96,-93.4514637904468,ABEO  210618C00002500,2.5,-32,ABNB  210618C00140000,140,-98.7857142857143
ABNB,C,150.75,"",2021-06-18,ABNB  210618C00140000,140,7.67857142857143,ABNB  210618C00150000,150,0.5,ABNB  210618C00155000,155,-2.74193548387097,ABNB  210618C00160000,160,-5.78125
ABNB,P,150.75,"",2021-06-18,ABNB  210618P00140000,140,7.67857142857143,ABNB  210618P00150000,150,0.5,ABNB  210618P00170000,170,-11.3235294117647,ABNB  210716C00135000,135,11.6666666666667
ABNB,C,150.75,"",2021-07-16,ABNB  210716C00140000,140,7.67857142857143,ABNB  210716C00150000,150,0.5,ABNB  210716C00155000,155,-2.74193548387097,ABNB  210716C00160000,160,-5.78125
ABNB,P,150.75,"",2021-07-16,ABNB  210716P00140000,140,7.67857142857143,ABNB  210716P00150000,150,0.5,"",18.59,710.919849381388,ABR   210716C00020000,20,653.75
ABR,C,18.59,"",2021-07-16,ABNB  210716P00150000,150,-87.6066666666667,"",150.75,-87.6683250414594,ABR   210716C00020000,20,-7.05,ABR   210716P00010000,10,85.9
ABR,P,18.59,"",2021-07-16,ABR   210716P00010000,10,85.9,ABR   210716P00012500,12.5,48.72,"",109.42,-83.0104185706452,ABT   210618C00125000,125,-85.128
ABT,C,109.42,"",2021-06-18,ABR   210716P00012500,12.5,775.36,"",18.59,488.59601936525,ABT   210618C00125000,125,-12.464,ABT   210618P00107000,107,2.26168224299066
ABT,P,109.42,"",2021-06-18,ABT   210618C00125000,125,-12.464,ABT   210618P00107000,107,2.26168224299066,"",2.94,3621.76870748299,ABUS  210618C00005000,5,2088.4
ABUS,C,2.94,"",2021-06-18,ABT   210618P00107000,107,-97.2523364485981,"",109.42,-97.31310546518,ABUS  210618C00005000,5,-41.2,ABUS  210618P00002500,2.5,17.6
ABUS,P,2.94,"",2021-06-18,ABUS  210618C00005000,5,-41.2,ABUS  210618P00002500,2.5,17.6,ABUS  210618P00005000,5,-41.2,ACB   210618C00006000,6,-51
ACB,C,9.16,"",2021-06-18,ACB   210618C00008000,8,14.5,ACB   210618C00009000,9,1.77777777777778,ACB   210618C00009500,9.5,-3.57894736842105,ACB   210618C00010000,10,-8.4
ACB,P,9.16,"",2021-06-18,ACB   210618P00008000,8,14.5,ACB   210618P00009000,9,1.77777777777778,ACB   210618P00010000,10,-8.4,ACB   210618P00012000,12,-23.6666666666667
ACB,C,9.16,"",2021-07-16,ACB   210618P00020000,20,-54.2,ACB   210716C00009000,9,1.77777777777778,ACI   210716P00017500,17.5,-47.6571428571429,"",20.15,-54.5409429280397
ACI,P,20.15,"",2021-07-16,"",9.16,119.978165938865,ACI   210716P00017500,17.5,15.1428571428572,ACMR  210618P00070000,70,-71.2142857142857,"",83.97,-76.0033345242348
ACMR,P,83.97,"",2021-06-18,"",20.15,316.724565756824,ACMR  210618P00070000,70,19.9571428571429,"",1.47,5612.24489795918,ACRX  210618C00002500,2.5,3258.8
ACRX,C,1.47,"",2021-06-18,ACMR  210618P00070000,70,-97.9,"",83.97,-98.249374776706,ACRX  210618C00002500,2.5,-41.2,ACRX  210618C00005000,5,-70.6
ADBE,C,505.33,"",2021-06-18,ADBE  210618C00420000,420,20.3166666666667,ADBE  210618C00500000,500,1.066,ADBE  210618P00450000,450,12.2955555555556,"",505.33,0
ADBE,P,505.33,"",2021-06-18,"",505.33,0,ADBE  210618P00450000,450,12.2955555555556,ADI   210618C00165000,165,206.260606060606,"",165.66,205.040444283472
ADI,C,165.66,"",2021-06-18,"",505.33,-67.2174618566086,ADI   210618C00165000,165,0.399999999999998,ADI   210618C00180000,180,-7.96666666666667,ADI   210618P00135000,135,22.7111111111111
ADI,P,165.66,"",2021-06-18,ADI   210618P00145000,145,14.248275862069,ADI   210618P00150000,150,10.44,ADM   210618C00065000,65,154.861538461538,"",68.73,141.030117852466
ADM,C,68.73,"",2021-06-18,"",165.66,-58.5114089098153,ADM   210618C00065000,65,5.73846153846155,"",1.74,3850,ADMA  210618C00002000,2,3336.5
ADMA,C,1.74,"",2021-06-18,ADM   210618C00065000,65,-97.3230769230769,"",68.73,-97.4683544303798,ADMA  210618C00002000,2,-13,"",1.74,0
ADMA,P,1.74,"",2021-08-20,"",1.74,0,ADMA  210618C00002000,2,-13,ADMA  210820P00002500,2.5,-30.4,"",0.99,75.7575757575758
ADMP,C,0.99,"",2021-06-18,"",1.74,-43.1034482758621,ADMA  210820P00002500,2.5,-60.4,ADMP  210618C00001000,1,-1,ADMP  210618C00002500,2.5,-60.4
ADMP,P,0.99,"",2021-06-18,ADMP  210618C00001000,1,-1,ADMP  210618C00002500,2.5,-60.4,ADMP  210618P00001000,1,-1,"",10.37,-90.4532304725169
ADN,C,10.37,"",2021-06-18,"",0.99,947.474747474748,ADMP  210618P00001000,1,937,ADN   210618C00012500,12.5,-17.04,ADN   210618C00015000,15,-30.8666666666667
ADN,P,10.37,"",2021-06-18,ADN   210618C00017500,17.5,-40.7428571428571,ADN   210618P00010000,10,3.70000000000001,ADNT  210716C00040000,40,-74.075,ADNT  210716C00045000,45,-76.9555555555556
ADNT,C,52.8,"",2021-07-16,ADNT  210716C00045000,45,17.3333333333333,ADNT  210716C00050000,50,5.59999999999999,ADNT  210716C00055000,55,-4.00000000000001,"",117.93,-55.227677435767
ADS,C,117.93,"",2021-06-18,"",52.8,123.352272727273,ADNT  210716C00055000,55,114.418181818182,ADS   210618C00130000,130,-9.28461538461538,ADS   210618C00140000,140,-15.7642857142857
ADT,C,11,"",2021-08-20,ADS   210618C00140000,140,-92.1428571428571,ADT   210820C00010000,10,10,ADT   210820C00012500,12.5,-12,"",2.8,292.857142857143
ADTX,C,2.8,"",2021-08-20,"",11,-74.5454545454545,ADT   210820C00012500,12.5,-77.6,ADTX  210820C00007500,7.5,-62.6666666666667,"",2.8,0
ADTX,P,2.8,"",2021-08-20,"",2.8,0,ADTX  210820C00007500,7.5,-62.6666666666667,ADTX  210820P00005000,5,-44,"",3.37,-16.9139465875371
ADVM,C,3.37,"",2021-06-18,"",2.8,20.3571428571429,ADTX  210820P00005000,5,-32.6,ADVM  210618C00005000,5,-32.6,ADVM  210618C00015000,15,-77.5333333333334
AEG,C,4.7,"",2021-07-16,ADVM  210618C00005000,5,-6,ADVM  210618C00015000,15,-68.6666666666667,AEG   210716C00005000,5,-6,AEM   210820P00060000,60,-92.1666666666667
AEM,P,70.72,"",2021-08-20,AEG   210716C00005000,5,1314.4,AEM   210820P00060000,60,17.8666666666667,AEO   210716P00028000,28,152.571428571429,AEO   210716P00029000,29,143.862068965517
AEO,P,33.58,"",2021-07-16,AEO   210716P00028000,28,19.9285714285714,AEO   210716P00029000,29,15.7931034482759,AEO   210820P00019000,19,76.7368421052632,"",33.58,0
AEO,P,33.58,"",2021-08-20,"",33.58,0,AEO   210820P00019000,19,76.7368421052632,"",86.05,-60.9761766414875,AEP   210618C00095000,95,-64.6526315789474
AEP,C,86.05,"",2021-06-18,AEO   210820P00019000,19,352.894736842105,"",33.58,156.253722453842,AEP   210618C00095000,95,-9.42105263157895,AEP   210618P00082500,82.5,4.3030303030303
AEP,P,86.05,"",2021-06-18,AEP   210618C00095000,95,-9.42105263157895,AEP   210618P00082500,82.5,4.3030303030303,AEP   210618P00095000,95,-9.42105263157895,"",86.05,0
AEP,C,86.05,"",2021-08-20,"",86.05,0,AEP   210618P00095000,95,-9.42105263157895,AEP   210820C00090000,90,-4.38888888888889,"",57.73,49.0559501125931
AER,C,57.73,"",2021-06-18,"",86.05,-32.9110981987217,AEP   210820C00090000,90,-35.8555555555556,AER   210618C00060000,60,-3.78333333333333,AER   210618P00052500,52.5,9.96190476190477
AER,P,57.73,"",2021-06-18,AER   210618C00060000,60,-3.78333333333333,AER   210618P00052500,52.5,9.96190476190477,"",57.73,0,AER   210716C00062500,62.5,-7.63199999999999
AER,C,57.73,"",2021-07-16,AER   210618P00052500,52.5,9.96190476190477,"",57.73,0,AER   210716C00062500,62.5,-7.63199999999999,AER   210716P00037500,37.5,53.9466666666667
AER,P,57.73,"",2021-07-16,AER   210716C00062500,62.5,-7.63199999999999,AER   210716P00037500,37.5,53.9466666666667,"",24.93,131.568391496189,AES   210618C00026000,26,122.038461538462
AES,C,24.93,"",2021-06-18,AER   210716P00037500,37.5,-33.52,"",57.73,-56.8162134072406,AES   210618C00026000,26,-4.11538461538462,AES   210618C00027000,27,-7.66666666666667
AFL,C,57.5,"",2021-08-20,AES   210618C00027000,27,112.962962962963,AFL   210820C00055000,55,4.54545454545455,AFL   210820C00057500,57.5,0,AFL   210820P00040000,40,43.75
AFL,P,57.5,"",2021-08-20,AFL   210820C00057500,57.5,0,AFL   210820P00040000,40,43.75,"",59.7,-3.68509212730319,AFRM  210618C00060000,60,-4.16666666666667
AFRM,C,59.7,"",2021-06-18,AFL   210820P00040000,40,49.25,"",57.5,3.82608695652174,AFRM  210618C00060000,60,-0.499999999999995,AFRM  210618C00065000,65,-8.15384615384615
AFRM,P,59.7,"",2021-06-18,AFRM  210618P00050000,50,19.4,AFRM  210618P00055000,55,8.54545454545455,AGEN  210618C00004000,4,1392.5,"",4.05,1374.07407407407
AGEN,C,4.05,"",2021-06-18,"",59.7,-93.2160804020101,AGEN  210618C00004000,4,1.25,AGEN  210618C00005000,5,-19,AGEN  210618P00004000,4,1.25
AGEN,P,4.05,"",2021-06-18,AGEN  210618C00005000,5,-19,AGEN  210618P00004000,4,1.25,AGEN  210820C00003000,3,35,"",4.05,0
AGEN,C,4.05,"",2021-08-20,"",4.05,0,AGEN  210820C00003000,3,35,AGEN  210820C00005000,5,-19,AGEN  210820C00007000,7,-42.1428571428571
AGNC,C,18.7,"",2021-06-18,AGEN  210820C00005000,5,274,AGEN  210820C00007000,7,167.142857142857,AGNC  210618C00019000,19,-1.57894736842106,AGNC  210618P00014000,14,33.5714285714286
