TKR,C/P,STRIKE,OPTKR,EXPDAY,lag_1_optkr,lag_1_stk,lag_1_pct_chg,lag_0_optkr,lag_0_stk,lag_0_pct_chg,lead_0_optkr,lead_0_stk,lead_0_pct_chg,lead_1_optkr,lead_1_stk,lead_1_pct_chg
AA,C,38.91,"",2021-07-16,AA    210716C00025000,25,55.64,AA    210716C00030000,30,29.7,AA    210716C00040000,40,-2.72500000000001,AA    210716C00050000,50,-22.18
AAL,C,24.32,"",2021-06-18,AAL   210618C00015000,15,62.1333333333334,AAL   210618C00020000,20,21.6,AAL   210618C00025000,25,-2.72,AAL   210618C00030000,30,-18.9333333333333
AAL,C,25,AAL   210618C00025000,2021-06-18,AAL   210618C00020000,20,25,"",24.32,2.79605263157895,AAL   210618C00030000,30,-16.6666666666667,AAL   210618C00035000,35,-28.5714285714286
AAL,C,30,AAL   210618C00030000,2021-06-18,"",24.32,23.3552631578947,AAL   210618C00025000,25,20,AAL   210618C00035000,35,-14.2857142857143,AAL   210618C00040000,40,-25
AAL,P,15,AAL   210618P00015000,2021-06-18,AAL   210618P00005000,5,200,AAL   210618P00010000,10,50,AAL   210618P00020000,20,-25,AAL   210618P00022500,22.5,-33.3333333333333
AAL,P,20,AAL   210618P00020000,2021-06-18,AAL   210618P00010000,10,100,AAL   210618P00015000,15,33.3333333333333,AAL   210618P00022500,22.5,-11.1111111111111,"",24.32,-17.7631578947368
AAL,P,22.5,AAL   210618P00022500,2021-06-18,AAL   210618P00015000,15,50,AAL   210618P00020000,20,12.5,"",24.32,-7.48355263157895,AAL   210618P00025000,25,-10
AAL,C,24.32,"",2021-07-16,AAL   210716C00015000,15,62.1333333333334,AAL   210716C00020000,20,21.6,AAL   210716C00025000,25,-2.72,AAL   210716C00030000,30,-18.9333333333333
AAL,C,25,AAL   210716C00025000,2021-07-16,AAL   210716C00020000,20,25,"",24.32,2.79605263157895,AAL   210716C00030000,30,-16.6666666666667,AAL   210716C00035000,35,-28.5714285714286
AAL,P,15,AAL   210716P00015000,2021-07-16,AAL   210716P00005000,5,200,AAL   210716P00010000,10,50,AAL   210716P00020000,20,-25,"",24.32,-38.3223684210526
AAL,P,20,AAL   210716P00020000,2021-07-16,AAL   210716P00010000,10,100,AAL   210716P00015000,15,33.3333333333333,"",24.32,-17.7631578947368,AAL   210716P00025000,25,-20
AAL,C,25,AAL   210820C00025000,2021-08-20,AAL   210820C00020000,20,25,"",24.32,2.79605263157895,AAL   210820C00030000,30,-16.6666666666667,AAL   210820C00035000,35,-28.5714285714286
AAL,C,30,AAL   210820C00030000,2021-08-20,"",24.32,23.3552631578947,AAL   210820C00025000,25,20,AAL   210820C00035000,35,-14.2857142857143,AAL   210820C00040000,40,-25
