TKR,C/P,STRIKE,OPTKR,EXPDAY,lag_1_optkr,lag_1_stk,lag_1_pct_chg,lag_0_optkr,lag_0_stk,lag_0_pct_chg,lead_0_optkr,lead_0_stk,lead_0_pct_chg,lead_1_optkr,lead_1_stk,lead_1_pct_chg
AA,C,38.91,"",2021-06-18,,,,,,,AA    210618C00039000,39,-0.23076923076924,AA    210618C00042000,42,-7.35714285714287
AA,C,39,AA    210618C00039000,2021-06-18,,,,"",38.91,0.231303006939099,AA    210618C00042000,42,-7.14285714285714,AA    210618C00044000,44,-11.3636363636364
AA,C,42,AA    210618C00042000,2021-06-18,"",38.91,7.94140323824211,AA    210618C00039000,39,7.69230769230769,AA    210618C00044000,44,-4.54545454545455,AA    210618C00045000,45,-6.66666666666667
AA,C,44,AA    210618C00044000,2021-06-18,AA    210618C00039000,39,12.8205128205128,AA    210618C00042000,42,4.76190476190476,AA    210618C00045000,45,-2.22222222222222,AA    210716C00025000,25,76
AA,C,45,AA    210618C00045000,2021-06-18,AA    210618C00042000,42,7.14285714285714,AA    210618C00044000,44,2.27272727272727,AA    210716C00025000,25,80,AA    210716C00030000,30,50
AA,C,25,AA    210716C00025000,2021-07-16,AA    210618C00044000,44,-43.1818181818182,AA    210618C00045000,45,-44.4444444444444,AA    210716C00030000,30,-16.6666666666667,"",38.91,-35.7491647391416
AA,C,30,AA    210716C00030000,2021-07-16,AA    210618C00045000,45,-33.3333333333333,AA    210716C00025000,25,20,"",38.91,-22.8989976869699,AA    210716C00040000,40,-25
AA,C,38.91,"",2021-07-16,AA    210716C00025000,25,55.64,AA    210716C00030000,30,29.7,AA    210716C00040000,40,-2.72500000000001,AA    210716C00050000,50,-22.18
AA,C,40,AA    210716C00040000,2021-07-16,AA    210716C00030000,30,33.3333333333333,"",38.91,2.80133641737344,AA    210716C00050000,50,-20,AAL   210618C00015000,15,166.666666666667
AA,C,50,AA    210716C00050000,2021-07-16,"",38.91,28.5016705217168,AA    210716C00040000,40,25,AAL   210618C00015000,15,233.333333333333,AAL   210618C00016000,16,212.5
AAL,C,15,AAL   210618C00015000,2021-06-18,AA    210716C00040000,40,-62.5,AA    210716C00050000,50,-70,AAL   210618C00016000,16,-6.25,AAL   210618C00017000,17,-11.7647058823529
AAL,C,16,AAL   210618C00016000,2021-06-18,AA    210716C00050000,50,-68,AAL   210618C00015000,15,6.66666666666667,AAL   210618C00017000,17,-5.88235294117647,AAL   210618C00020000,20,-20
AAL,C,17,AAL   210618C00017000,2021-06-18,AAL   210618C00015000,15,13.3333333333333,AAL   210618C00016000,16,6.25,AAL   210618C00020000,20,-15,AAL   210618C00021000,21,-19.0476190476191
AAL,C,20,AAL   210618C00020000,2021-06-18,AAL   210618C00016000,16,25,AAL   210618C00017000,17,17.6470588235294,AAL   210618C00021000,21,-4.76190476190476,AAL   210618C00022000,22,-9.09090909090909
AAL,C,21,AAL   210618C00021000,2021-06-18,AAL   210618C00017000,17,23.5294117647059,AAL   210618C00020000,20,5,AAL   210618C00022000,22,-4.54545454545455,AAL   210618C00023000,23,-8.69565217391304
AAL,C,22,AAL   210618C00022000,2021-06-18,AAL   210618C00020000,20,10,AAL   210618C00021000,21,4.76190476190476,AAL   210618C00023000,23,-4.34782608695652,AAL   210618C00024000,24,-8.33333333333333
AAL,C,23,AAL   210618C00023000,2021-06-18,AAL   210618C00021000,21,9.52380952380952,AAL   210618C00022000,22,4.54545454545455,AAL   210618C00024000,24,-4.16666666666667,"",24.32,-5.42763157894737
AAL,C,24,AAL   210618C00024000,2021-06-18,AAL   210618C00022000,22,9.09090909090909,AAL   210618C00023000,23,4.34782608695652,"",24.32,-1.31578947368421,AAL   210618C00024500,24.5,-2.04081632653061
AAL,C,24.32,"",2021-06-18,AAL   210618C00023000,23,5.73913043478261,AAL   210618C00024000,24,1.33333333333333,AAL   210618C00024500,24.5,-0.734693877551019,AAL   210618C00025000,25,-2.72
AAL,C,24.5,AAL   210618C00024500,2021-06-18,AAL   210618C00024000,24,2.08333333333333,"",24.32,0.740131578947367,AAL   210618C00025000,25,-2,AAL   210618C00025500,25.5,-3.92156862745098
AAL,C,25,AAL   210618C00025000,2021-06-18,"",24.32,2.79605263157895,AAL   210618C00024500,24.5,2.04081632653061,AAL   210618C00025500,25.5,-1.96078431372549,AAL   210618C00026000,26,-3.84615384615385
AAL,C,25.5,AAL   210618C00025500,2021-06-18,AAL   210618C00024500,24.5,4.08163265306122,AAL   210618C00025000,25,2,AAL   210618C00026000,26,-1.92307692307692,AAL   210618C00027000,27,-5.55555555555556
AAL,C,26,AAL   210618C00026000,2021-06-18,AAL   210618C00025000,25,4,AAL   210618C00025500,25.5,1.96078431372549,AAL   210618C00027000,27,-3.7037037037037,AAL   210618C00028000,28,-7.14285714285714
AAL,C,27,AAL   210618C00027000,2021-06-18,AAL   210618C00025500,25.5,5.88235294117647,AAL   210618C00026000,26,3.84615384615385,AAL   210618C00028000,28,-3.57142857142857,AAL   210618C00029000,29,-6.89655172413793
AAL,C,28,AAL   210618C00028000,2021-06-18,AAL   210618C00026000,26,7.69230769230769,AAL   210618C00027000,27,3.7037037037037,AAL   210618C00029000,29,-3.44827586206897,AAL   210618C00030000,30,-6.66666666666667
AAL,C,29,AAL   210618C00029000,2021-06-18,AAL   210618C00027000,27,7.40740740740741,AAL   210618C00028000,28,3.57142857142857,AAL   210618C00030000,30,-3.33333333333333,AAL   210618C00035000,35,-17.1428571428571
AAL,C,30,AAL   210618C00030000,2021-06-18,AAL   210618C00028000,28,7.14285714285714,AAL   210618C00029000,29,3.44827586206897,AAL   210618C00035000,35,-14.2857142857143,AAL   210618C00040000,40,-25
AAL,C,35,AAL   210618C00035000,2021-06-18,AAL   210618C00029000,29,20.6896551724138,AAL   210618C00030000,30,16.6666666666667,AAL   210618C00040000,40,-12.5,AAL   210716C00015000,15,133.333333333333
AAL,C,40,AAL   210618C00040000,2021-06-18,AAL   210618C00030000,30,33.3333333333333,AAL   210618C00035000,35,14.2857142857143,AAL   210716C00015000,15,166.666666666667,AAL   210716C00017000,17,135.294117647059
AAL,C,15,AAL   210716C00015000,2021-07-16,AAL   210618C00035000,35,-57.1428571428571,AAL   210618C00040000,40,-62.5,AAL   210716C00017000,17,-11.7647058823529,AAL   210716C00020000,20,-25
AAL,C,17,AAL   210716C00017000,2021-07-16,AAL   210618C00040000,40,-57.5,AAL   210716C00015000,15,13.3333333333333,AAL   210716C00020000,20,-15,AAL   210716C00021000,21,-19.0476190476191
AAL,C,20,AAL   210716C00020000,2021-07-16,AAL   210716C00015000,15,33.3333333333333,AAL   210716C00017000,17,17.6470588235294,AAL   210716C00021000,21,-4.76190476190476,AAL   210716C00022000,22,-9.09090909090909
AAL,C,21,AAL   210716C00021000,2021-07-16,AAL   210716C00017000,17,23.5294117647059,AAL   210716C00020000,20,5,AAL   210716C00022000,22,-4.54545454545455,AAL   210716C00023000,23,-8.69565217391304
AAL,C,22,AAL   210716C00022000,2021-07-16,AAL   210716C00020000,20,10,AAL   210716C00021000,21,4.76190476190476,AAL   210716C00023000,23,-4.34782608695652,AAL   210716C00024000,24,-8.33333333333333
AAL,C,23,AAL   210716C00023000,2021-07-16,AAL   210716C00021000,21,9.52380952380952,AAL   210716C00022000,22,4.54545454545455,AAL   210716C00024000,24,-4.16666666666667,"",24.32,-5.42763157894737
AAL,C,24,AAL   210716C00024000,2021-07-16,AAL   210716C00022000,22,9.09090909090909,AAL   210716C00023000,23,4.34782608695652,"",24.32,-1.31578947368421,AAL   210716C00025000,25,-4
