TKR,C/P,STRIKE,OPTKR,EXPDAY
AA,C,38.91,"",2021-06-18
AA,C,39,AA    210618C00039000,2021-06-18
AA,C,42,AA    210618C00042000,2021-06-18
AA,C,44,AA    210618C00044000,2021-06-18
AA,C,45,AA    210618C00045000,2021-06-18
AA,P,25,AA    210618P00025000,2021-06-18
AA,P,34,AA    210618P00034000,2021-06-18
AA,P,38.91,"",2021-06-18
AA,C,25,AA    210716C00025000,2021-07-16
AA,C,30,AA    210716C00030000,2021-07-16
AA,C,38.91,"",2021-07-16
AA,C,40,AA    210716C00040000,2021-07-16
AA,C,50,AA    210716C00050000,2021-07-16
AA,P,25,AA    210716P00025000,2021-07-16
AA,P,27,AA    210716P00027000,2021-07-16
AA,P,38.91,"",2021-07-16
AA,P,40,AA    210716P00040000,2021-07-16
AAL,C,15,AAL   210618C00015000,2021-06-18
AAL,C,16,AAL   210618C00016000,2021-06-18
AAL,C,17,AAL   210618C00017000,2021-06-18
AAL,C,20,AAL   210618C00020000,2021-06-18
AAL,C,21,AAL   210618C00021000,2021-06-18
AAL,C,22,AAL   210618C00022000,2021-06-18
AAL,C,23,AAL   210618C00023000,2021-06-18
AAL,C,24,AAL   210618C00024000,2021-06-18
AAL,C,24.32,"",2021-06-18
AAL,C,24.5,AAL   210618C00024500,2021-06-18
AAL,C,25,AAL   210618C00025000,2021-06-18
AAL,C,25.5,AAL   210618C00025500,2021-06-18
AAL,C,26,AAL   210618C00026000,2021-06-18
AAL,C,27,AAL   210618C00027000,2021-06-18
AAL,C,28,AAL   210618C00028000,2021-06-18
AAL,C,29,AAL   210618C00029000,2021-06-18
AAL,C,30,AAL   210618C00030000,2021-06-18
AAL,C,35,AAL   210618C00035000,2021-06-18
AAL,C,40,AAL   210618C00040000,2021-06-18
AAL,P,5,AAL   210618P00005000,2021-06-18
AAL,P,6,AAL   210618P00006000,2021-06-18
AAL,P,7,AAL   210618P00007000,2021-06-18
AAL,P,8,AAL   210618P00008000,2021-06-18
AAL,P,9,AAL   210618P00009000,2021-06-18
AAL,P,10,AAL   210618P00010000,2021-06-18
