TKR,CMPRICE,OPTKR,id_strike,strike
AAPL,126.04,AAPL  210716P00120000,1,120
AAPL,126.04,AAPL  210716C00125000,2,125
AAPL,126.04,AAPL  210716P00130000,3,130
AAPL,126.04,AAPL  210716C00135000,4,135
AMC,47.92,AMC   210716P00030000,1,30
AMC,47.92,AMC   210716C00030000,2,30
AMC,47.92,AMC   210716P00050000,3,50
AMC,47.92,AMC   210716C00055000,4,55
AMD,81.63,AMD   210716P00077500,1,77.5
AMD,81.63,AMD   210716C00080000,2,80
AMD,81.63,AMD   210716P00082500,3,82.5
AMD,81.63,AMD   210716C00085000,4,85
BABA,218.73,BABA  210716P00210000,1,210
BABA,218.73,BABA  210716C00215000,2,215
BABA,218.73,BABA  210716P00220000,3,220
BABA,218.73,BABA  210716C00225000,4,225
DIS,177.32,DIS   210716P00170000,1,170
DIS,177.32,DIS   210716C00175000,2,175
DIS,177.32,DIS   210716P00180000,3,180
DIS,177.32,DIS   210716C00185000,4,185
INTC,57.44,INTC  210716P00052500,1,52.5
INTC,57.44,INTC  210716C00055000,2,55
INTC,57.44,INTC  210716P00057500,3,57.5
INTC,57.44,INTC  210716C00060000,4,60
MU,83.81,MU    210716P00080000,1,80
MU,83.81,MU    210716C00082500,2,82.5
MU,83.81,MU    210716P00085000,3,85
MU,83.81,MU    210716C00087500,4,87.5
NKLA,17,NKLA  210716P00010000,1,10
NKLA,17,NKLA  210716C00015000,2,15
NKLA,17,NKLA  210716P00017500,3,17.5
NKLA,17,NKLA  210716C00020000,4,20
RIDE,12.46,RIDE  210716P00007500,1,7.5
RIDE,12.46,RIDE  210716C00010000,2,10
RIDE,12.46,RIDE  210716P00012500,3,12.5
RIDE,12.46,RIDE  210716C00015000,4,15
SPCE,31.24,SPCE  210716P00025000,1,25
SPCE,31.24,SPCE  210716C00030000,2,30
SPCE,31.24,SPCE  210716P00035000,3,35
SPCE,31.24,SPCE  210716C00040000,4,40
SPY,422.83,SPY   210716P00415000,1,415
SPY,422.83,SPY   210716C00420000,2,420
SPY,422.83,SPY   210716P00425000,3,425
SPY,422.83,SPY   210716C00430000,4,430
TSM,119.43,TSM   210716P00110000,1,110
TSM,119.43,TSM   210716C00115000,2,115
TSM,119.43,TSM   210716P00120000,3,120
TSM,119.43,TSM   210716C00125000,4,125
TWTR,59,TWTR  210716P00052500,1,52.5
TWTR,59,TWTR  210716C00057500,2,57.5
TWTR,59,TWTR  210716P00060000,3,60
TWTR,59,TWTR  210716C00062500,4,62.5
XPEV,37.1,XPEV  210716P00030000,1,30
XPEV,37.1,XPEV  210716C00035000,2,35
XPEV,37.1,XPEV  210716P00040000,3,40
XPEV,37.1,XPEV  210716C00045000,4,45
