TKR,profit,loss,roi,date_exp,date_run
AAPL,9.4,20,47.00%,2022-11-18,2022-10-04
AMD,8.67,20,43.35%,2022-11-18,2022-10-04
AMZN,9.45,20,47.25%,2022-11-18,2022-10-04
BABA,9.05,20,45.25%,2022-11-18,2022-10-04
C,4.92,12.5,39.36%,2022-11-18,2022-10-04
DIS,8.84,20,44.20%,2022-11-18,2022-10-04
GOOGL,5.69,12.5,45.52%,2022-11-18,2022-10-04
INTC,3.99,10,39.90%,2022-11-18,2022-10-04
IWM,9.01,20,45.05%,2022-11-18,2022-10-04
JPM,8.79,20,43.95%,2022-11-18,2022-10-04
MSFT,10,20,50.00%,2022-11-18,2022-10-04
NVDA,9.45,20,47.25%,2022-11-18,2022-10-04
PLUG,5.12,12.5,40.96%,2022-11-18,2022-10-04
PYPL,9.2,20,46.00%,2022-11-18,2022-10-04
SPY,9.53,20,47.65%,2022-11-18,2022-10-04
UBER,4.42,10,44.20%,2022-11-18,2022-10-04
AAPL,9.2,20,46.0%,2022-11-18,2022-09-26
AMZN,9.45,20,47.2%,2022-11-18,2022-09-26
AAPL,9,20,45.000%,2022-10-21,2022-09-21
AMZN,8.99,20,44.950%,2022-10-21,2022-09-21
PYPL,4.95,10,49.500%,2022-10-21,2022-09-21
TSLA,15.05,30,50.167%,2022-10-21,2022-09-21
UBER,4.17,10,41.700%,2022-10-21,2022-09-21
XOM,4.7,10,47.000%,2022-10-21,2022-09-21
AAPL,8.9,20,44.50%,2022-10-21,2022-09-15
AMZN,8.96,20,44.80%,2022-10-21,2022-09-15
CCL,3.36,10,33.60%,2022-10-21,2022-09-15
DIS,8.52,20,42.60%,2022-10-21,2022-09-15
SPY,9.45,20,47.25%,2022-10-21,2022-09-15
WFC,4.19,10,41.90%,2022-10-21,2022-09-15
XOM,4.82,10,48.20%,2022-10-21,2022-09-15
AAPL,9.25,20,46.25%,2022-10-21,2022-09-01
AMZN,9.3,20,46.50%,2022-10-21,2022-09-01
BABA,9.1,20,45.50%,2022-10-21,2022-09-01
CSCO,3.97,10,39.70%,2022-10-21,2022-09-01
DIS,8.78,20,43.90%,2022-10-21,2022-09-01
META,9.55,20,47.75%,2022-10-21,2022-09-01
SPY,9.52,20,47.60%,2022-10-21,2022-09-01
UBER,4.29,10,42.90%,2022-10-21,2022-09-01
WFC,4.28,10,42.80%,2022-10-21,2022-09-01
XOM,4.9,10,49.00%,2022-10-21,2022-09-01
AAPL,9.3,20,46.50%,2022-10-21,2022-08-24
AMZN,9.45,20,47.25%,2022-10-21,2022-08-24
BABA,9.5,20,47.50%,2022-10-21,2022-08-24
C,4.37,10,43.70%,2022-10-21,2022-08-24
CCL,3.67,10,36.70%,2022-10-21,2022-08-24
CSCO,4.14,10,41.40%,2022-10-21,2022-08-24
FCX,7.47,20,37.35%,2022-10-21,2022-08-24
GOOGL,5.05,10,50.50%,2022-10-21,2022-08-24
IWM,9.19,20,45.95%,2022-10-21,2022-08-24
MSFT,11.1,20,55.50%,2022-10-21,2022-08-24
