Company,DIV'D,CMRK,TechRank,^vCM,HISTVO,INDUST,CMPRICE,VOLF,TKR,C/P,STRIKE,OPTKR,Record Number,EXPDAY,OI,VOL,BID,ASK,EST,DLTA,Bid oprk,Ask oprk,Bid UN/OV,Ask UN/OV,RVOPT,10%,-10%,CCMPRK,CCMPBE,CCMPRV,CCPWPA,CCPWPT,CCPWMX,I/OTM,THETA,Bid Implied,Ask Implied,VOLFADJ,PrtbStrk VOLF,Bid PrtbStrk Implied,Ask PrtbStrk Implied,PctDble,Margin,Yld Margin,Max Margin,ROBUY,ROWRT,ROCCMP,06/16/2021
AMC Entertainment Holdings Inc,0,3,9,e,0.84599,Recreation,55.01,1.09566,AMC,P,55,AMC   210702P00055000,106838,7/2/2021 12:00:00 AM,382,100,12.85,13.15,3.46761,38.08919,5,3,2.73501,2.82471,221.5289,-0.14851,0.17519,5,42.19534,52.13493,6.5633,0.2346,0.30569,-0.00018,-37.00541,2.76066,2.82696,0.73913,0.49748,0.49933,0.49934,0.57082,0.19982,1.16986,1.16903,347760,282711,347617
AMC Entertainment Holdings Inc,0,3,9,e,0.84599,Recreation,55.01,1.09566,AMC,P,56,AMC   210702P00056000,129759,7/2/2021 12:00:00 AM,268,17,13.7,13.85,4.03772,39.08208,5,3,2.78225,2.82661,215.6137,-0.14412,0.16924,5,42.34617,53.782,6.46903,0.23105,0.3247,0.018,-37.72642,2.81063,2.84359,0.74311,0.54224,0.51119,0.51106,0.59087,0.2,1.15607,1.24523,347769,282714,347626
AMC Entertainment Holdings Inc,0,3,9,e,0.84599,Recreation,55.01,1.09566,AMC,P,57,AMC   210702P00057000,125625,7/2/2021 12:00:00 AM,285,109,14.25,14.6,4.69178,40.18407,5,3,2.69486,2.79572,215.2532,-0.14177,0.16585,5,42.79699,56.23611,6.17511,0.22287,0.33416,0.03618,-38.05004,2.79224,2.86846,0.75571,0.58427,0.52297,0.52236,0.60296,0.2,1.11517,1.29522,347638,282708,347490
GameStop Corp Holding Company,0,3,9,e,0.88508,Retail (Hardlines),224.84,0.75415,GME,P,215,GME   210702P00215000,304230,7/2/2021 12:00:00 AM,32,9,24.45,26.2,5.74427,38.03515,5,3,1.94183,2.12158,332.3398,-0.29208,0.38937,5,190.7272,37.09906,2.77265,0.15333,0.12914,-0.04376,-86.25851,1.54949,1.64417,0.52671,0.34423,0.4458,0.4489,0.25682,0.15624,0.69685,0.69603,343216,282523,343225
Bed Bath and Beyond Inc,0,3,3,,0.69502,Retail (Hardlines),29.16,0.56755,BBBY,P,26,BBBY  210709P00026000,242981,7/9/2021 12:00:00 AM,64,3,1.4,1.55,0.31736,27.99495,5,3,0.9967,1.12045,505.9543,-0.43722,0.69779,4,24.63026,24.95853,0.88321,0.15754,0.05807,-0.10837,-5.14977,0.96127,1.02085,0.48143,0.17398,0.31916,0.32902,0.14331,0.1,0.48127,0.48011,315318,280997,318944
GameStop Corp Holding Company,0,3,9,e,0.88508,Retail (Hardlines),224.84,0.76316,GME,P,220,GME   210709P00220000,220174,7/9/2021 12:00:00 AM,84,17,31.65,34.1,9.3994,39.82638,5,3,1.91583,2.12832,263.0536,-0.24173,0.30662,5,188.606,38.21046,2.57328,0.16346,0.1692,-0.02153,-71.9793,1.51066,1.62075,0.51809,0.4315,0.4764,0.478,0.32613,0.17847,0.78989,0.78873,343292,282514,343290
GameStop Corp Holding Company,0,3,9,e,0.88508,Retail (Hardlines),224.84,0.76316,GME,P,222.5,GME   210709P00222500,381465,7/9/2021 12:00:00 AM,14,0,33.2,35.7,10.5295,40.88374,5,3,1.94287,2.15933,256.3751,-0.23745,0.2995,5,189.5589,39.04095,2.68498,0.15923,0.17655,-0.01041,-72.80147,1.51752,1.62914,0.51566,0.46497,0.48808,0.4889,0.33389,0.18959,0.77999,0.77883,343612,282524,343597
GameStop Corp Holding Company,0,3,9,e,0.88508,Retail (Hardlines),224.84,0.76316,GME,P,225,GME   210709P00225000,317504,7/9/2021 12:00:00 AM,28,23,34.3,37.3,11.77925,41.98156,5,3,1.91953,2.17812,252.8353,-0.23527,0.29513,5,190.9619,40.02397,2.74037,0.15184,0.18103,0.00071,-73.05664,1.50303,1.63616,0.51482,0.49863,0.49953,0.49957,0.33883,0.2,0.76037,0.76276,343784,282516,343771
Invesco Mortgage Capital Inc,0.08654,3,9,,0.56592,R.E.I.T.,4.08,0.36243,IVR,P,3.5,IVR   210716P00003500,854,7/16/2021 12:00:00 AM,34533,65,0.11,0.12,0.0144,21.17433,5,3,0.98029,1.06131,523.1498,-0.54243,1.02363,4,3.39526,14.1468,0.39975,0.17062,0.03395,-0.14216,-0.4002,0.71445,0.74368,0.36078,0.08035,0.23936,0.24809,0.09769,0.1,0.27111,0.26961,311190,280856,315668
Atossa Therapeutics Inc,0,3,9,,1.05815,Medical Supplies  (Noninvasive),4.67,1.0668,ATOS,P,4,ATOS  210716P00004000,16721,7/16/2021 12:00:00 AM,4060,401,0.85,0.9,0.25196,28.3219,5,3,1.25149,1.3556,293.2211,-0.13921,0.16468,4,3.15601,54.65497,3.19486,0.32699,0.27134,-0.14347,-1.77293,2.34623,2.45472,1.04208,0.30332,0.40956,0.41349,0.60722,0.1,1.82163,1.82013,326862,281969,328865
