Company,DIV'D,CMRK,TechRank,^vCM,HISTVO,INDUST,CMPRICE,VOLF,TKR,C/P,STRIKE,OPTKR,Record Number,EXPDAY,OI,VOL,BID,ASK,EST,DLTA,Bid oprk,Ask oprk,Bid UN/OV,Ask UN/OV,RVOPT,10%,-10%,CCMPRK,CCMPBE,CCMPRV,CCPWPA,CCPWPT,CCPWMX,I/OTM,THETA,Bid Implied,Ask Implied,VOLFADJ,PrtbStrk VOLF,Bid PrtbStrk Implied,Ask PrtbStrk Implied,PctDble,Margin,Yld Margin,Max Margin,ROBUY,ROWRT,ROCCMP,08/17/2021
Tencent Music Entertainment Group,0,5,4,,0.49333,Internet,7.8,0.40878,TME,C,8,TME   210827C00008000,502696,8/27/2021 12:00:00 AM,2,1012,0.38,0.42,0.07961,46.78995,5,3,1.97408,2.23025,488.2967,1.14875,-0.6693,2,7.42,28.58267,1.69934,0.04872,0.07817,-0.02564,-2.21813,0.86269,0.937,0.29007,0.3113,0.43428,0.43945,0.08705,0.17436,0.27995,0.27941,326071,284713,52316
Tencent Music Entertainment Group,0,5,4,,0.49333,Internet,7.8,0.40878,TME,C,8.5,TME   210827C00008500,271467,8/27/2021 12:00:00 AM,46,296,0.25,0.27,0.0401,33.26601,5,3,1.14001,1.23318,820.6743,1.33447,-0.69593,3,7.55,53.94701,1.09874,0.03205,0.12583,-0.08974,-2.14575,0.93418,0.97485,0.43653,0.12986,0.29922,0.30689,0.07494,0.11026,0.29123,0.2907,318296,284542,74504
Vipshop Holdings Ltd,0,4,4,v,0.57173,Internet,14.64,0.57737,VIPS,C,15,VIPS  210827C00015000,483399,8/27/2021 12:00:00 AM,3,19,0.65,0.8,0.32023,46.72027,5,3,0.71206,1.03222,807.0833,1.19525,-0.68452,2,13.99,45.7515,1.54169,0.0444,0.07219,-0.02459,-4.01698,0.79388,0.94234,0.4637,0.38394,0.43156,0.44226,0.08366,0.17541,0.25365,0.25312,307720,283730,51967
Macys Inc,0,4,3,,0.58714,Retail Store,18.24,0.45383,M,C,18.5,M     210827C00018500,53272,8/27/2021 12:00:00 AM,1137,330,0.94,0.99,0.34175,49.2942,5,3,1.32741,1.43783,614.3318,1.17043,-0.68007,2,17.3,33.66677,1.80294,0.05154,0.06936,-0.01425,-4.94333,0.83447,0.87406,0.35854,0.41339,0.46255,0.46424,0.08544,0.18575,0.27798,0.27745,317591,284504,29793
Macys Inc,0,4,3,,0.58714,Retail Store,18.24,0.45383,M,C,20,M     210827C00020000,24377,8/27/2021 12:00:00 AM,2858,1895,0.47,0.49,0.10197,29.75875,5,3,0.83157,0.8704,1014.201,1.58817,-0.74392,2,17.77,61.09428,0.87763,0.02577,0.12549,-0.09649,-4.35869,0.86025,0.87849,0.46968,0.13068,0.26986,0.27408,0.06297,0.10351,0.24947,0.24894,301270,284036,45788
HP Inc,0.02591,3,3,,0.34851,Computers/Peripherals,28.66,0.30965,HPQ,C,29,HPQ   210827C00029000,92318,8/27/2021 12:00:00 AM,507,262,0.87,0.91,0.27581,46.59996,5,3,1.42237,1.51717,595.0114,2.13635,-0.86609,1,27.76762,21.1652,1.06471,0.03114,0.04432,-0.01186,-4.81226,0.51846,0.53875,0.21403,0.37294,0.44679,0.44878,0.04681,0.18814,0.16188,0.16135,314314,284408,6513
HP Inc,0.02591,3,3,,0.34851,Computers/Peripherals,28.66,0.30965,HPQ,C,30,HPQ   210827C00030000,69587,8/27/2021 12:00:00 AM,785,351,0.49,0.53,0.13364,32.01461,5,3,0.79513,0.87503,1009.042,2.96231,-0.90773,1,28.14762,35.45186,0.60309,0.01788,0.06574,-0.04676,-4.22192,0.50549,0.52799,0.28159,0.17365,0.3003,0.3081,0.03376,0.15324,0.1121,0.11157,286328,282629,16766
Nordstrom Inc,0,3,3,,0.55936,Retail Store,33.38,0.45881,JWN,C,34,JWN   210827C00034000,176446,8/27/2021 12:00:00 AM,146,62,1.5,1.65,0.58377,47.62077,5,3,1.09832,1.27647,678.8492,1.2963,-0.71279,1,31.88,35.39672,1.56125,0.04494,0.0665,-0.01857,-8.44234,0.76572,0.83073,0.36492,0.38894,0.44653,0.45069,0.07714,0.18143,0.24822,0.24769,307546,284074,9977
Nordstrom Inc,0,3,3,,0.55936,Retail Store,33.38,0.45881,JWN,C,35,JWN   210827C00035000,37599,8/27/2021 12:00:00 AM,1774,381,1.16,1.28,0.34374,39.62558,5,3,0.98331,1.11937,800.4815,1.45459,-0.73551,1,32.22,44.1337,1.19463,0.03475,0.08628,-0.04853,-8.27774,0.78289,0.8366,0.39474,0.24706,0.36513,0.37349,0.06875,0.15147,0.22996,0.22943,301224,283801,12059
Nordstrom Inc,0,3,3,,0.55936,Retail Store,33.38,0.45881,JWN,C,36,JWN   210827C00036000,129209,8/27/2021 12:00:00 AM,279,507,0.89,0.98,0.23782,32.43482,5,3,0.78875,0.88544,983.7862,1.62327,-0.75584,1,32.49,55.87766,0.90895,0.02666,0.10803,-0.07849,-7.81932,0.79884,0.84202,0.44659,0.16658,0.29425,0.30388,0.0616,0.12151,0.21996,0.21943,287088,282566,16939
